date,home_team,away_team,result,b365_1,b365_x,b365_2
2025-08-23,Genoa,Lecce,X,1.9,3.3,4.5
2025-08-23,Sassuolo,Napoli,2,6.0,4.0,1.57
2025-08-23,Milan,Cremonese,2,1.33,5.25,9.0
2025-08-23,Roma,Bologna,1,2.1,3.3,3.5
2025-08-24,Cagliari,Fiorentina,X,3.25,3.3,2.25
2025-08-24,Como,Lazio,1,2.4,3.25,3.0
2025-08-24,Atalanta,Pisa,X,1.4,5.0,7.0
2025-08-24,Juventus,Parma,1,1.42,4.75,7.5
2025-08-25,Udinese,Verona,X,1.95,3.3,4.1
2025-08-25,Inter,Torino,1,1.42,4.75,7.5
2025-08-29,Cremonese,Sassuolo,1,2.6,3.2,2.75
2025-08-29,Lecce,Milan,2,6.0,3.9,1.57
2025-08-30,Bologna,Como,1,2.45,3.1,3.1
2025-08-30,Parma,Atalanta,X,4.1,3.5,1.91
2025-08-30,Napoli,Cagliari,1,1.3,5.0,11.0
2025-08-30,Pisa,Roma,2,5.25,3.6,1.7
2025-08-31,Genoa,Juventus,2,4.5,3.4,1.85
2025-08-31,Torino,Fiorentina,X,3.2,3.1,2.4
2025-08-31,Inter,Udinese,2,1.3,5.25,9.5
2025-08-31,Lazio,Verona,1,1.48,4.33,7.0
2025-09-13,Cagliari,Parma,1,2.15,3.2,3.6
2025-09-13,Juventus,Inter,1,2.75,3.0,2.75
2025-09-13,Fiorentina,Napoli,2,3.5,3.1,2.25
2025-09-14,Roma,Torino,2,1.5,4.1,7.0
2025-09-14,Atalanta,Lecce,1,1.4,4.5,8.5
2025-09-14,Pisa,Udinese,2,2.75,3.1,2.75
2025-09-14,Sassuolo,Lazio,1,3.5,3.6,2.05
2025-09-14,Milan,Bologna,1,1.91,3.4,4.2
2025-09-15,Verona,Cremonese,X,2.38,3.1,3.2
2025-09-15,Como,Genoa,X,1.62,3.75,6.0
2025-09-19,Lecce,Cagliari,2,2.88,2.9,2.75
2025-09-20,Bologna,Genoa,1,1.83,3.2,5.25
2025-09-20,Verona,Juventus,X,6.5,3.9,1.55
2025-09-20,Udinese,Milan,2,4.33,3.6,1.83
2025-09-21,Lazio,Roma,2,2.8,3.1,2.63
2025-09-21,Cremonese,Parma,X,2.55,3.2,2.88
2025-09-21,Torino,Atalanta,2,3.25,3.4,2.2
2025-09-21,Fiorentina,Como,2,2.6,3.2,2.8
2025-09-21,Inter,Sassuolo,1,1.29,5.5,12.0
2025-09-22,Napoli,Pisa,1,1.27,5.75,12.0
2025-09-27,Como,Cremonese,X,1.45,4.33,8.0
2025-09-27,Juventus,Atalanta,X,1.85,3.6,4.2
2025-09-27,Cagliari,Inter,2,6.0,4.2,1.53
2025-09-28,Sassuolo,Udinese,1,2.3,3.2,3.3
2025-09-28,Pisa,Fiorentina,X,3.3,3.25,2.25
2025-09-28,Roma,Verona,1,1.42,4.2,8.5
2025-09-28,Lecce,Bologna,X,4.2,3.0,2.05
2025-09-28,Milan,Napoli,1,2.35,3.1,3.2
2025-09-29,Parma,Torino,1,2.3,3.1,3.4
2025-09-29,Genoa,Lazio,2,3.0,3.0,2.6
2025-10-03,Verona,Sassuolo,2,2.5,3.1,3.0
2025-10-04,Lazio,Torino,X,1.7,3.6,5.25
2025-10-04,Parma,Lecce,2,1.85,3.7,4.1
2025-10-04,Inter,Cremonese,1,1.2,6.5,15.0
2025-10-04,Atalanta,Como,X,2.2,3.4,3.25
2025-10-05,Udinese,Cagliari,X,2.15,3.2,3.6
2025-10-05,Bologna,Pisa,1,1.6,3.9,5.75
2025-10-05,Fiorentina,Roma,2,3.0,3.3,2.4
2025-10-05,Napoli,Genoa,1,1.48,4.0,8.0
2025-10-05,Juventus,Milan,X,2.7,3.2,2.7
2025-10-18,Lecce,Sassuolo,X,2.9,3.2,2.5
2025-10-18,Pisa,Verona,X,2.55,3.1,2.9
2025-10-18,Torino,Napoli,1,5.25,3.3,1.8
2025-10-18,Roma,Inter,2,3.3,3.25,2.25
2025-10-19,Como,Juventus,1,2.88,3.25,2.5
2025-10-19,Cagliari,Bologna,2,3.6,3.3,2.1
2025-10-19,Genoa,Parma,X,2.1,3.0,4.0
2025-10-19,Atalanta,Lazio,X,1.73,4.0,4.5
2025-10-19,Milan,Fiorentina,1,1.5,4.33,6.5
2025-10-20,Cremonese,Udinese,X,3.0,3.25,2.4
2025-10-24,Milan,Pisa,X,1.3,5.5,10.0
2025-10-25,Parma,Como,X,3.9,3.5,1.95
2025-10-25,Udinese,Lecce,1,1.8,3.4,4.75
2025-10-25,Napoli,Inter,1,3.0,3.1,2.4
2025-10-25,Cremonese,Atalanta,X,5.0,4.2,1.62
2025-10-26,Torino,Genoa,1,2.25,2.9,3.5
2025-10-26,Sassuolo,Roma,2,4.5,3.5,1.85
2025-10-26,Verona,Cagliari,X,2.25,3.0,3.6
2025-10-26,Fiorentina,Bologna,X,2.7,3.1,2.75
2025-10-26,Lazio,Juventus,1,3.2,3.25,2.3
2025-10-28,Lecce,Napoli,2,6.5,3.75,1.55
2025-10-28,Atalanta,Milan,X,2.63,3.2,2.75
2025-10-29,Como,Verona,1,1.6,3.6,6.5
2025-10-29,Juventus,Udinese,1,1.44,4.1,8.5
2025-10-29,Roma,Parma,1,1.53,3.75,7.5
2025-10-29,Bologna,Torino,X,1.75,3.5,5.0
2025-10-29,Genoa,Cremonese,2,1.85,3.25,4.75
2025-10-29,Inter,Fiorentina,1,1.38,4.5,8.5
2025-10-30,Cagliari,Sassuolo,2,2.6,3.1,2.88
2025-10-30,Pisa,Lazio,X,3.7,3.25,2.1
2025-11-01,Udinese,Atalanta,1,4.5,3.6,1.8
2025-11-01,Napoli,Como,X,1.95,3.1,4.5
2025-11-01,Cremonese,Juventus,2,6.5,4.33,1.5
2025-11-02,Verona,Inter,2,7.5,4.5,1.42
2025-11-02,Fiorentina,Lecce,2,1.62,3.8,5.75
2025-11-02,Torino,Pisa,X,1.95,3.25,4.33
2025-11-02,Parma,Bologna,2,4.2,3.0,2.05
2025-11-02,Milan,Roma,1,2.2,3.0,3.7
2025-11-03,Sassuolo,Genoa,2,2.45,3.0,3.2
2025-11-03,Lazio,Cagliari,1,1.53,3.8,7.0
2025-11-07,Pisa,Cremonese,1,2.25,3.1,3.4
2025-11-08,Como,Cagliari,X,1.48,4.5,6.5
2025-11-08,Lecce,Verona,X,2.75,2.9,2.9
2025-11-08,Juventus,Torino,X,1.5,4.1,7.0
2025-11-08,Parma,Milan,X,5.75,4.0,1.57
2025-11-09,Atalanta,Sassuolo,2,1.44,4.5,7.0
2025-11-09,Bologna,Napoli,1,3.0,3.1,2.55
2025-11-09,Genoa,Fiorentina,X,2.75,3.0,2.75
2025-11-09,Roma,Udinese,1,1.55,4.0,6.25
2025-11-09,Inter,Lazio,1,1.36,5.0,8.0
2025-11-22,Cagliari,Genoa,X,2.88,3.0,2.75
2025-11-22,Udinese,Bologna,2,3.75,3.2,2.1
2025-11-22,Fiorentina,Juventus,X,3.9,3.4,2.0
2025-11-22,Napoli,Atalanta,1,2.25,3.25,3.4
2025-11-23,Verona,Parma,2,2.25,3.0,3.6
2025-11-23,Cremonese,Roma,2,6.0,3.75,1.62
2025-11-23,Lazio,Lecce,1,1.62,3.7,6.25
2025-11-23,Inter,Milan,2,1.9,3.5,4.0
2025-11-24,Torino,Como,2,3.5,3.25,2.2
2025-11-24,Sassuolo,Pisa,X,2.1,3.2,3.75
2025-11-28,Como,Sassuolo,1,1.73,3.6,5.0
2025-11-29,Genoa,Verona,1,2.05,3.0,4.2
2025-11-29,Parma,Udinese,2,2.7,3.0,2.8
2025-11-29,Juventus,Cagliari,1,1.3,5.5,10.0
2025-11-29,Milan,Lazio,1,1.62,3.8,5.75
2025-11-30,Lecce,Torino,1,3.0,2.88,2.7
2025-11-30,Pisa,Inter,2,8.0,5.75,1.3
2025-11-30,Atalanta,Fiorentina,1,1.73,3.75,4.75
2025-11-30,Roma,Napoli,2,2.6,2.88,3.1
2025-12-01,Bologna,Cremonese,2,1.48,4.0,8.0
2025-12-06,Sassuolo,Fiorentina,1,2.88,3.25,2.5
2025-12-06,Inter,Como,1,1.53,4.33,6.0
2025-12-06,Verona,Atalanta,1,5.0,4.0,1.67
2025-12-07,Cremonese,Lecce,1,2.4,3.1,3.2
2025-12-07,Cagliari,Roma,1,5.25,3.6,1.67
2025-12-07,Lazio,Bologna,X,2.6,3.1,2.9
2025-12-07,Napoli,Juventus,1,2.35,3.0,3.2
2025-12-08,Pisa,Parma,2,2.4,3.0,3.3
