date,home_team,away_team,b365_h,b365_x,b365_a
2023-08-19,Empoli,Verona,2.25,3.2,3.3
2023-08-19,Frosinone,Napoli,8.5,5.0,1.36
2023-08-19,Genoa,Fiorentina,3.4,3.25,2.2
2023-08-19,Inter,Monza,1.4,5.0,7.0
2023-08-20,Roma,Salernitana,1.53,4.0,6.5
2023-08-20,Sassuolo,Atalanta,3.5,3.4,2.1
2023-08-20,Lecce,Lazio,3.6,3.3,2.1
2023-08-20,Udinese,Juventus,4.33,3.6,1.83
2023-08-21,Torino,Cagliari,1.67,3.75,5.25
2023-08-21,Bologna,Milan,4.0,3.4,1.95
2023-08-26,Frosinone,Atalanta,5.0,4.0,1.67
2023-08-26,Monza,Empoli,1.91,3.5,4.2
2023-08-26,Milan,Torino,1.65,3.8,5.0
2023-08-26,Verona,Roma,4.33,3.5,1.83
2023-08-27,Fiorentina,Lecce,1.57,4.2,5.75
2023-08-27,Juventus,Bologna,1.5,4.5,6.0
2023-08-27,Lazio,Genoa,1.55,4.0,6.0
2023-08-27,Napoli,Sassuolo,1.33,5.5,8.5
2023-08-28,Salernitana,Udinese,2.7,3.2,2.63
2023-08-28,Cagliari,Inter,7.5,4.5,1.44
2023-09-01,Sassuolo,Verona,2.0,3.6,3.75
2023-09-01,Roma,Milan,2.8,3.1,2.63
2023-09-02,Bologna,Cagliari,1.7,3.75,5.0
2023-09-02,Udinese,Frosinone,1.8,3.6,4.5
2023-09-02,Atalanta,Monza,1.62,4.0,5.25
2023-09-02,Napoli,Lazio,1.62,4.0,5.5
2023-09-03,Inter,Fiorentina,1.65,3.8,5.25
2023-09-03,Torino,Genoa,2.0,3.3,4.0
2023-09-03,Empoli,Juventus,5.25,3.8,1.67
2023-09-03,Lecce,Salernitana,2.0,3.3,4.0
2023-09-16,Juventus,Lazio,1.91,3.4,4.33
2023-09-16,Inter,Milan,2.15,3.5,3.4
2023-09-16,Genoa,Napoli,5.5,3.8,1.67
2023-09-17,Cagliari,Udinese,2.88,3.3,2.5
2023-09-17,Frosinone,Sassuolo,2.8,3.4,2.5
2023-09-17,Monza,Lecce,2.1,3.4,3.5
2023-09-17,Fiorentina,Atalanta,2.38,3.5,2.88
2023-09-17,Roma,Empoli,1.44,4.5,7.5
2023-09-18,Salernitana,Torino,3.6,3.25,2.2
2023-09-18,Verona,Bologna,3.1,3.3,2.38
2023-09-22,Salernitana,Frosinone,2.5,3.2,2.9
2023-09-22,Lecce,Genoa,2.45,3.2,3.1
2023-09-23,Milan,Verona,1.36,4.75,9.0
2023-09-23,Sassuolo,Juventus,4.0,4.0,1.8
2023-09-23,Lazio,Monza,1.8,3.8,4.2
2023-09-24,Empoli,Inter,9.0,5.25,1.33
2023-09-24,Atalanta,Cagliari,1.4,5.0,8.0
2023-09-24,Udinese,Fiorentina,3.2,3.5,2.25
2023-09-24,Bologna,Napoli,3.75,3.6,1.91
2023-09-24,Torino,Roma,3.1,2.9,2.6
2023-09-26,Juventus,Lecce,1.5,4.2,7.0
2023-09-27,Cagliari,Milan,5.25,3.8,1.67
2023-09-27,Empoli,Salernitana,2.3,3.3,3.2
2023-09-27,Verona,Atalanta,4.2,3.75,1.83
2023-09-27,Inter,Sassuolo,1.33,5.5,8.0
2023-09-27,Lazio,Torino,2.15,3.25,3.5
2023-09-27,Napoli,Udinese,1.36,5.0,8.5
2023-09-28,Frosinone,Fiorentina,3.75,3.6,1.95
2023-09-28,Monza,Bologna,2.38,3.3,3.0
2023-09-28,Genoa,Roma,3.8,3.25,2.05
2023-09-30,Lecce,Napoli,4.75,3.8,1.75
