date,home_team,away_team,result,b365_1,b365_x,b365_2
2024-08-17,Genoa,Inter,X,6.5,4.0,1.53
2024-08-17,Parma,Fiorentina,X,3.5,3.2,2.2
2024-08-17,Empoli,Monza,X,2.5,3.2,3.0
2024-08-17,Milan,Torino,X,1.62,3.8,5.75
2024-08-18,Bologna,Udinese,X,1.91,3.4,4.33
2024-08-18,Verona,Napoli,1,4.75,3.6,1.75
2024-08-18,Cagliari,Roma,X,4.1,3.4,1.95
2024-08-18,Lazio,Venezia,1,1.48,4.1,7.5
2024-08-19,Lecce,Atalanta,2,4.2,3.7,1.85
2024-08-19,Juventus,Como,1,1.33,5.0,9.5
2024-08-24,Parma,Milan,1,4.75,3.9,1.7
2024-08-24,Udinese,Lazio,1,3.3,3.1,2.35
2024-08-24,Inter,Lecce,1,1.2,7.0,13.0
2024-08-24,Monza,Genoa,2,2.6,3.1,2.88
2024-08-25,Fiorentina,Venezia,X,1.42,4.75,7.0
2024-08-25,Torino,Atalanta,1,3.2,3.1,2.38
2024-08-25,Napoli,Bologna,1,1.9,3.5,4.1
2024-08-25,Roma,Empoli,2,1.5,4.33,6.5
2024-08-26,Cagliari,Como,X,2.1,3.4,3.4
2024-08-26,Verona,Juventus,2,5.25,3.75,1.67
2024-08-30,Venezia,Torino,2,3.4,3.3,2.2
2024-08-30,Inter,Atalanta,1,1.57,4.33,5.5
2024-08-31,Bologna,Empoli,X,1.62,3.75,6.0
2024-08-31,Lecce,Cagliari,1,2.25,3.2,3.4
2024-08-31,Lazio,Milan,X,2.9,3.4,2.4
2024-08-31,Napoli,Parma,1,1.48,4.33,7.0
2024-09-01,Fiorentina,Monza,X,1.67,3.9,5.0
2024-09-01,Genoa,Verona,2,2.0,3.3,4.0
2024-09-01,Juventus,Roma,X,1.75,3.6,5.0
2024-09-01,Udinese,Como,1,2.05,3.4,3.75
2024-09-14,Como,Bologna,X,3.0,3.25,2.45
2024-09-14,Empoli,Juventus,X,5.25,3.6,1.7
2024-09-14,Milan,Venezia,1,1.3,5.75,9.0
2024-09-15,Genoa,Roma,X,3.25,3.3,2.25
2024-09-15,Atalanta,Fiorentina,1,1.8,3.6,4.5
2024-09-15,Torino,Lecce,X,1.8,3.5,4.75
2024-09-15,Cagliari,Napoli,2,4.33,3.75,1.8
2024-09-15,Monza,Inter,X,8.0,4.75,1.4
2024-09-16,Parma,Udinese,2,2.25,3.4,3.2
2024-09-16,Lazio,Verona,1,1.62,3.8,6.0
2024-09-20,Cagliari,Empoli,2,2.15,3.4,3.4
2024-09-20,Verona,Torino,2,2.7,3.0,2.8
2024-09-21,Venezia,Genoa,1,3.25,3.2,2.35
2024-09-21,Juventus,Napoli,X,2.2,3.4,3.3
2024-09-21,Lecce,Parma,X,2.2,3.5,3.25
2024-09-22,Fiorentina,Lazio,1,2.25,3.4,3.2
2024-09-22,Monza,Bologna,2,3.3,3.1,2.4
2024-09-22,Roma,Udinese,1,1.62,4.2,5.25
2024-09-22,Inter,Milan,2,1.65,4.0,5.25
2024-09-24,Atalanta,Como,2,1.44,4.5,7.0
2024-09-27,Milan,Lecce,1,1.33,5.75,8.0
2024-09-28,Udinese,Inter,2,7.0,4.33,1.48
2024-09-28,Genoa,Juventus,2,5.5,3.5,1.7
2024-09-28,Bologna,Atalanta,X,3.0,3.3,2.4
2024-09-29,Torino,Lazio,2,2.9,3.1,2.55
2024-09-29,Como,Verona,1,2.1,3.4,3.6
2024-09-29,Roma,Venezia,1,1.4,4.75,8.0
2024-09-29,Empoli,Fiorentina,X,3.4,3.3,2.2
2024-09-29,Napoli,Monza,1,1.36,5.0,8.5
2024-09-30,Parma,Cagliari,2,2.1,3.6,3.4
2024-10-04,Napoli,Como,1,1.45,4.33,7.0
2024-10-04,Verona,Venezia,1,2.5,3.2,2.9
2024-10-05,Udinese,Lecce,1,2.2,3.3,3.3
2024-10-05,Atalanta,Genoa,1,1.45,4.75,6.5
2024-10-05,Inter,Torino,1,1.3,5.0,11.0
2024-10-06,Juventus,Cagliari,X,1.38,5.0,8.0
2024-10-06,Bologna,Parma,X,1.8,3.7,4.33
2024-10-06,Lazio,Empoli,1,1.57,4.0,6.0
2024-10-06,Monza,Roma,X,4.2,3.4,1.91
2024-10-06,Fiorentina,Milan,1,3.1,3.6,2.2
2024-10-19,Como,Parma,X,1.95,3.6,3.8
2024-10-19,Genoa,Bologna,X,3.75,3.1,2.15
2024-10-19,Milan,Udinese,1,1.38,4.75,8.5
2024-10-19,Juventus,Lazio,1,2.05,3.3,3.8
2024-10-20,Empoli,Napoli,2,6.0,3.5,1.67
2024-10-20,Lecce,Fiorentina,2,3.2,3.3,2.3
2024-10-20,Venezia,Atalanta,2,5.5,4.0,1.62
2024-10-20,Cagliari,Torino,1,2.8,3.1,2.7
2024-10-20,Roma,Inter,2,4.2,3.7,1.85
2024-10-21,Verona,Monza,2,2.3,3.0,3.5
2024-10-25,Udinese,Cagliari,1,2.2,3.3,3.3
2024-10-25,Torino,Como,1,2.63,3.0,2.9
2024-10-26,Napoli,Lecce,1,1.25,6.0,12.0
2024-10-26,Atalanta,Verona,1,1.38,4.75,8.0
2024-10-27,Parma,Empoli,X,2.15,3.3,3.5
2024-10-27,Lazio,Genoa,1,1.53,4.2,6.25
2024-10-27,Monza,Venezia,X,2.15,3.25,3.6
2024-10-27,Inter,Juventus,X,1.72,3.5,5.0
2024-10-27,Fiorentina,Roma,1,2.55,3.4,2.75
2024-10-29,Cagliari,Bologna,2,3.0,3.25,2.35
2024-10-29,Lecce,Verona,1,2.25,3.25,3.25
2024-10-29,Milan,Napoli,2,2.45,3.4,2.8
2024-10-30,Empoli,Inter,2,7.5,4.33,1.44
2024-10-30,Venezia,Udinese,1,2.7,3.25,2.65
2024-10-30,Atalanta,Monza,1,1.3,5.0,10.0
2024-10-30,Juventus,Parma,X,1.4,4.75,8.0
2024-10-31,Genoa,Fiorentina,2,4.2,3.9,1.8
2024-10-31,Como,Lazio,2,2.88,3.3,2.45
2024-10-31,Roma,Torino,1,1.7,3.8,5.0
2024-11-02,Bologna,Lecce,1,1.62,3.5,6.5
2024-11-02,Udinese,Juventus,2,4.2,3.2,1.95
2024-11-02,Monza,Milan,2,5.0,3.6,1.7
2024-11-03,Napoli,Atalanta,2,2.05,3.4,3.7
2024-11-03,Torino,Fiorentina,2,3.2,3.3,2.25
2024-11-03,Verona,Roma,1,5.0,3.5,1.8
2024-11-03,Inter,Venezia,1,1.17,7.0,15.0
2024-11-04,Empoli,Como,1,2.7,3.1,2.63
2024-11-04,Parma,Genoa,2,1.85,3.4,4.33
2024-11-04,Lazio,Cagliari,1,1.5,3.75,7.5
2024-11-07,Genoa,Como,X,2.88,3.3,2.45
2024-11-08,Lecce,Empoli,X,2.4,3.0,3.3
2024-11-09,Venezia,Parma,2,2.55,3.4,2.7
2024-11-09,Cagliari,Milan,X,5.5,4.1,1.6
2024-11-09,Juventus,Torino,1,1.57,3.8,6.5
2024-11-10,Atalanta,Udinese,1,1.38,5.0,7.5
2024-11-10,Fiorentina,Verona,1,1.44,4.5,7.0
2024-11-10,Roma,Bologna,2,2.05,3.4,3.6
2024-11-10,Monza,Lazio,2,4.1,3.8,1.83
2024-11-10,Inter,Napoli,X,1.85,3.7,4.1
2024-11-23,Verona,Inter,2,7.0,5.25,1.38
2024-11-23,Milan,Juventus,X,2.15,3.3,3.5
2024-11-23,Parma,Atalanta,2,5.0,4.2,1.62
2024-11-24,Genoa,Cagliari,X,2.63,3.1,2.9
2024-11-24,Como,Fiorentina,2,3.3,3.1,2.3
2024-11-24,Torino,Monza,X,2.0,3.0,4.33
2024-11-24,Napoli,Roma,1,1.73,3.6,5.0
2024-11-24,Lazio,Bologna,1,1.9,3.5,4.2
2024-11-25,Empoli,Udinese,X,2.8,2.9,2.8
2024-11-25,Venezia,Lecce,2,2.3,3.25,3.2
2024-11-29,Cagliari,Verona,1,1.91,3.4,4.1
2024-11-30,Como,Monza,X,2.0,3.25,3.9
2024-11-30,Milan,Empoli,1,1.36,4.75,9.0
2024-11-30,Bologna,Venezia,1,1.65,3.9,5.25
2024-12-01,Udinese,Genoa,2,2.0,3.3,4.0
2024-12-01,Parma,Lazio,1,4.2,3.8,1.8
2024-12-01,Torino,Napoli,2,5.0,3.4,1.8
2024-12-01,Lecce,Juventus,X,5.25,3.6,1.7
2024-12-02,Roma,Atalanta,2,3.2,3.5,2.2
2024-12-06,Inter,Parma,1,1.18,7.0,15.0
2024-12-06,Atalanta,Milan,1,2.15,3.4,3.3
2024-12-07,Genoa,Torino,X,2.5,3.1,3.0
2024-12-07,Juventus,Bologna,X,1.7,3.6,5.25
2024-12-07,Roma,Lecce,1,1.57,4.0,6.25
2024-12-08,Fiorentina,Cagliari,1,1.5,4.5,6.0
2024-12-08,Verona,Empoli,2,2.63,2.75,3.25
2024-12-08,Venezia,Como,X,2.75,3.3,2.6
2024-12-08,Napoli,Lazio,2,1.9,3.4,4.33
2024-12-09,Monza,Udinese,2,2.7,3.0,2.88
