date,home_team,away_team,result,b365_1,b365_x,b365_2
2013-08-24,Sampdoria,Juventus,2,8.0,4.0,1.45
2013-08-24,Verona,Milan,1,4.75,3.6,1.75
2013-08-25,Cagliari,Atalanta,1,2.5,3.0,3.0
2013-08-25,Inter,Genoa,1,1.62,3.75,5.5
2013-08-25,Lazio,Udinese,1,2.0,3.4,3.75
2013-08-25,Livorno,Roma,2,3.6,3.5,2.0
2013-08-25,Napoli,Bologna,1,1.36,4.75,8.5
2013-08-25,Parma,Chievo,X,1.85,3.5,4.2
2013-08-25,Torino,Sassuolo,1,2.0,3.3,3.8
2013-08-26,Fiorentina,Catania,1,1.44,4.2,7.5
2013-08-31,Juventus,Lazio,1,1.36,4.5,9.0
2013-08-31,Chievo,Napoli,2,4.75,3.5,1.75
2013-09-01,Atalanta,Torino,1,2.1,3.2,3.6
2013-09-01,Bologna,Sampdoria,X,2.2,3.25,3.3
2013-09-01,Catania,Inter,2,2.75,3.2,2.6
2013-09-01,Genoa,Fiorentina,2,4.0,3.3,1.95
2013-09-01,Milan,Cagliari,1,1.4,4.5,7.5
2013-09-01,Roma,Verona,1,1.4,4.5,8.0
2013-09-01,Sassuolo,Livorno,2,1.95,3.2,4.2
2013-09-01,Udinese,Parma,1,2.1,3.25,3.6
2013-09-14,Torino,Milan,X,4.75,3.6,1.73
2013-09-14,Napoli,Atalanta,1,1.36,4.75,8.5
2013-09-14,Inter,Juventus,X,3.5,3.3,2.1
2013-09-15,Fiorentina,Cagliari,X,1.44,4.33,7.0
2013-09-15,Lazio,Chievo,1,1.67,3.75,5.0
2013-09-15,Livorno,Catania,1,2.5,3.2,2.88
2013-09-15,Sampdoria,Genoa,2,2.4,3.1,3.1
2013-09-15,Udinese,Bologna,X,1.8,3.5,4.5
2013-09-15,Verona,Sassuolo,1,2.25,3.2,3.25
2013-09-16,Parma,Roma,2,3.1,3.3,2.3
2013-09-21,Chievo,Udinese,1,2.75,3.2,2.6
2013-09-21,Genoa,Livorno,X,1.75,3.5,4.75
2013-09-21,Cagliari,Sampdoria,X,2.1,3.2,3.6
2013-09-22,Atalanta,Fiorentina,2,2.8,3.4,2.4
2013-09-22,Bologna,Torino,2,2.15,3.2,3.5
2013-09-22,Catania,Parma,X,2.05,3.25,3.75
2013-09-22,Juventus,Verona,1,1.17,7.0,15.0
2013-09-22,Milan,Napoli,2,2.5,3.4,2.7
2013-09-22,Roma,Lazio,1,2.1,3.4,3.4
2013-09-22,Sassuolo,Inter,2,4.5,3.75,1.75
2013-09-24,Udinese,Genoa,1,1.83,3.4,4.5
2013-09-25,Parma,Atalanta,1,1.91,3.3,4.2
2013-09-25,Torino,Verona,X,1.91,3.4,4.0
2013-09-25,Napoli,Sassuolo,X,1.17,7.0,15.0
2013-09-25,Sampdoria,Roma,2,3.6,3.3,2.05
2013-09-25,Lazio,Catania,1,1.57,3.75,6.0
2013-09-25,Chievo,Juventus,2,7.5,4.2,1.44
2013-09-25,Livorno,Cagliari,X,2.75,3.1,2.63
2013-09-25,Bologna,Milan,X,3.4,3.4,2.1
2013-09-26,Inter,Fiorentina,1,1.91,3.4,4.0
2013-09-28,Genoa,Napoli,2,4.75,3.5,1.75
2013-09-28,Milan,Sampdoria,1,1.5,4.0,7.0
2013-09-29,Verona,Livorno,1,1.91,3.3,4.2
2013-09-29,Torino,Juventus,2,6.5,4.1,1.5
2013-09-29,Sassuolo,Lazio,X,4.5,3.4,1.83
2013-09-29,Catania,Chievo,1,2.05,3.3,3.6
2013-09-29,Cagliari,Inter,X,3.8,3.3,2.0
2013-09-29,Atalanta,Udinese,1,2.5,3.2,2.88
2013-09-29,Roma,Bologna,1,1.33,5.0,9.0
2013-09-30,Fiorentina,Parma,X,1.57,3.8,6.0
2013-10-05,Chievo,Atalanta,2,2.2,3.2,3.4
2013-10-05,Inter,Roma,2,2.25,3.5,3.0
2013-10-06,Parma,Sassuolo,1,1.57,3.75,6.0
2013-10-06,Sampdoria,Torino,X,2.4,3.2,3.0
2013-10-06,Napoli,Livorno,1,1.22,5.25,17.0
2013-10-06,Udinese,Cagliari,1,1.83,3.5,4.33
2013-10-06,Juventus,Milan,1,1.57,4.0,5.5
2013-10-06,Catania,Genoa,X,2.1,3.4,3.4
2013-10-06,Bologna,Verona,2,2.1,3.3,3.5
2013-10-06,Lazio,Fiorentina,X,2.25,3.4,3.1
2013-10-18,Roma,Napoli,1,2.1,3.3,3.5
2013-10-19,Cagliari,Catania,1,1.91,3.3,4.2
2013-10-19,Milan,Udinese,1,1.67,3.6,5.25
2013-10-20,Atalanta,Lazio,1,2.7,3.2,2.6
2013-10-20,Fiorentina,Juventus,1,3.5,3.3,2.1
2013-10-20,Genoa,Chievo,1,2.0,3.4,3.75
2013-10-20,Livorno,Sampdoria,2,2.3,3.2,3.1
2013-10-20,Sassuolo,Bologna,1,2.38,3.2,3.0
2013-10-20,Torino,Inter,X,3.4,3.5,2.05
2013-10-20,Verona,Parma,1,2.3,3.2,3.1
2013-10-26,Sampdoria,Atalanta,1,2.3,3.2,3.2
2013-10-26,Inter,Verona,1,1.44,4.2,7.5
2013-10-27,Bologna,Livorno,1,2.0,3.3,3.8
2013-10-27,Catania,Sassuolo,X,1.83,3.5,4.33
2013-10-27,Chievo,Fiorentina,2,3.8,3.4,2.0
2013-10-27,Juventus,Genoa,1,1.2,6.0,15.0
2013-10-27,Lazio,Cagliari,1,1.83,3.4,4.5
2013-10-27,Napoli,Torino,1,1.33,5.0,8.5
2013-10-27,Parma,Milan,1,3.3,3.3,2.2
2013-10-27,Udinese,Roma,2,3.3,3.4,2.15
2013-10-29,Atalanta,Inter,X,3.8,3.3,2.0
2013-10-30,Verona,Sampdoria,1,2.0,3.4,3.75
2013-10-30,Sassuolo,Udinese,2,2.88,3.3,2.4
2013-10-30,Milan,Lazio,X,1.73,3.5,5.0
2013-10-30,Livorno,Torino,X,2.8,3.1,2.6
2013-10-30,Cagliari,Bologna,2,1.75,3.5,4.75
2013-10-30,Genoa,Parma,1,2.4,3.2,3.0
2013-10-30,Fiorentina,Napoli,2,2.5,3.3,2.8
2013-10-30,Juventus,Catania,1,1.18,6.25,17.0
2013-10-31,Roma,Chievo,1,1.22,6.0,12.0
2013-11-02,Milan,Fiorentina,2,2.05,3.5,3.5
2013-11-02,Napoli,Catania,1,1.22,6.0,13.0
2013-11-02,Parma,Juventus,2,4.5,3.75,1.73
2013-11-03,Verona,Cagliari,1,2.05,3.4,3.5
2013-11-03,Udinese,Inter,2,2.63,3.3,2.63
2013-11-03,Torino,Roma,X,4.0,3.5,1.91
2013-11-03,Sampdoria,Sassuolo,2,1.95,3.5,3.8
2013-11-03,Livorno,Atalanta,1,2.7,3.1,2.7
2013-11-03,Lazio,Genoa,2,1.57,3.8,6.0
2013-11-04,Bologna,Chievo,X,2.05,3.3,3.6
2013-11-09,Catania,Udinese,1,2.9,3.1,2.5
2013-11-09,Inter,Livorno,1,1.3,5.0,10.0
2013-11-10,Roma,Sassuolo,X,1.22,6.0,13.0
2013-11-10,Parma,Lazio,X,2.3,3.2,3.2
2013-11-10,Juventus,Napoli,1,1.73,3.6,4.75
2013-11-10,Genoa,Verona,1,2.25,3.25,3.25
2013-11-10,Chievo,Milan,X,3.8,3.3,2.0
2013-11-10,Cagliari,Torino,1,2.0,3.3,3.8
2013-11-10,Atalanta,Bologna,1,2.05,3.3,3.6
2013-11-10,Fiorentina,Sampdoria,1,1.4,4.5,8.0
2013-11-23,Milan,Genoa,X,1.44,4.2,7.5
2013-11-23,Napoli,Parma,2,1.44,4.5,6.5
2013-11-23,Verona,Chievo,2,2.1,3.3,3.5
2013-11-24,Sassuolo,Atalanta,1,2.2,3.2,3.4
2013-11-24,Udinese,Fiorentina,1,2.8,3.1,2.6
2013-11-24,Torino,Catania,1,1.8,3.5,4.5
2013-11-24,Livorno,Juventus,2,8.5,4.75,1.36
2013-11-24,Bologna,Inter,X,4.0,3.4,1.91
2013-11-24,Sampdoria,Lazio,X,3.0,3.2,2.38
2013-11-25,Roma,Cagliari,X,1.44,4.33,7.0
2013-11-30,Genoa,Torino,X,2.38,3.2,3.1
2013-11-30,Parma,Bologna,X,1.8,3.5,4.5
2013-12-01,Chievo,Livorno,1,1.91,3.4,4.0
2013-12-01,Catania,Milan,2,4.75,3.6,1.75
2013-12-01,Inter,Sampdoria,X,1.4,4.5,8.0
2013-12-01,Atalanta,Roma,X,4.0,3.4,1.91
2013-12-01,Cagliari,Sassuolo,X,1.83,3.5,4.33
2013-12-01,Juventus,Udinese,1,1.3,5.0,10.0
2013-12-02,Lazio,Napoli,2,3.1,3.3,2.3
2013-12-02,Fiorentina,Verona,1,1.44,4.33,7.0
2013-12-06,Bologna,Juventus,2,8.5,4.33,1.4
2013-12-07,Livorno,Milan,X,5.5,3.75,1.62
2013-12-07,Napoli,Udinese,X,1.57,3.75,6.0
2013-12-08,Torino,Lazio,1,2.38,3.2,3.0
2013-12-08,Sassuolo,Chievo,2,2.1,3.2,3.6
2013-12-08,Sampdoria,Catania,1,1.73,3.6,4.75
2013-12-08,Verona,Atalanta,1,1.95,3.3,4.0
2013-12-08,Inter,Parma,X,1.65,3.75,5.5
2013-12-08,Cagliari,Genoa,1,1.95,3.3,4.0
2013-12-08,Roma,Fiorentina,1,1.91,3.4,4.0
2013-12-14,Catania,Verona,X,2.7,3.0,2.75
2013-12-15,Chievo,Sampdoria,2,2.25,3.0,3.5
2013-12-15,Fiorentina,Bologna,1,1.44,4.33,7.0
2013-12-15,Genoa,Atalanta,X,2.15,3.25,3.4
2013-12-15,Juventus,Sassuolo,1,1.17,6.5,17.0
2013-12-15,Lazio,Livorno,1,1.5,4.0,7.0
2013-12-15,Napoli,Inter,1,1.91,3.5,4.0
2013-12-15,Parma,Cagliari,X,1.8,3.6,4.33
2013-12-15,Udinese,Torino,2,1.91,3.4,4.0
2013-12-16,Milan,Roma,X,2.3,3.3,3.1
2013-12-21,Livorno,Udinese,2,3.1,3.1,2.4
2013-12-21,Cagliari,Napoli,X,3.5,3.4,2.05
2013-12-22,Atalanta,Juventus,2,7.5,4.2,1.44
2013-12-22,Bologna,Genoa,1,2.1,3.25,3.5
2013-12-22,Inter,Milan,1,2.63,3.3,2.63
2013-12-22,Roma,Catania,1,1.22,6.5,11.0
2013-12-22,Sampdoria,Parma,X,2.5,3.2,2.88
2013-12-22,Sassuolo,Fiorentina,2,4.33,3.4,1.85
2013-12-22,Torino,Chievo,1,1.83,3.3,4.75
2013-12-22,Verona,Lazio,1,2.7,3.2,2.63
2014-01-05,Juventus,Roma,1,1.67,3.75,5.0
2014-01-05,Fiorentina,Livorno,1,1.33,4.75,10.0
2014-01-05,Chievo,Cagliari,X,2.38,3.0,3.25
2014-01-06,Catania,Bologna,1,2.1,3.2,3.6
2014-01-06,Genoa,Sassuolo,1,2.1,3.3,3.5
2014-01-06,Lazio,Inter,1,2.4,3.3,2.88
2014-01-06,Milan,Atalanta,1,1.44,4.2,7.5
2014-01-06,Napoli,Sampdoria,1,1.36,4.75,8.0
2014-01-06,Parma,Torino,1,2.05,3.3,3.6
2014-01-06,Udinese,Verona,2,1.8,3.4,4.75
2014-01-11,Bologna,Lazio,X,3.1,3.1,2.38
2014-01-11,Livorno,Parma,2,3.0,3.2,2.38
2014-01-12,Torino,Fiorentina,X,2.8,3.3,2.5
2014-01-12,Sassuolo,Milan,1,5.0,3.6,1.7
2014-01-12,Verona,Napoli,2,3.8,3.5,1.95
2014-01-12,Cagliari,Juventus,2,7.0,4.33,1.44
2014-01-12,Roma,Genoa,1,1.36,4.5,9.0
2014-01-12,Atalanta,Catania,1,1.85,3.4,4.33
2014-01-13,Inter,Chievo,X,1.44,4.33,7.0
