date,home_team,away_team,result,home_goals,away_goals,b365_1,b365_x,b365_2
2023-08-19,Empoli,Verona,A,0,1,2.25,3.2,3.3
2023-08-19,Frosinone,Napoli,A,1,3,8.5,5.0,1.36
2023-08-19,Genoa,Fiorentina,A,1,4,3.4,3.25,2.2
2023-08-19,Inter,Monza,H,2,0,1.4,5.0,7.0
2023-08-20,Roma,Salernitana,D,2,2,1.53,4.0,6.5
2023-08-20,Sassuolo,Atalanta,A,0,2,3.5,3.4,2.1
2023-08-20,Lecce,Lazio,H,2,1,3.6,3.3,2.1
2023-08-20,Udinese,Juventus,A,0,3,4.33,3.6,1.83
2023-08-21,Torino,Cagliari,D,0,0,1.67,3.75,5.25
2023-08-21,Bologna,Milan,A,0,2,4.0,3.4,1.95
2023-08-26,Frosinone,Atalanta,H,2,1,5.0,4.0,1.67
2023-08-26,Monza,Empoli,H,2,0,1.91,3.5,4.2
2023-08-26,Milan,Torino,H,4,1,1.65,3.8,5.0
2023-08-26,Verona,Roma,H,2,1,4.33,3.5,1.83
2023-08-27,Fiorentina,Lecce,D,2,2,1.57,4.2,5.75
2023-08-27,Juventus,Bologna,D,1,1,1.5,4.5,6.0
2023-08-27,Lazio,Genoa,A,0,1,1.55,4.0,6.0
2023-08-27,Napoli,Sassuolo,H,2,0,1.33,5.5,8.5
2023-08-28,Salernitana,Udinese,D,1,1,2.7,3.2,2.63
2023-08-28,Cagliari,Inter,A,0,2,7.5,4.5,1.44
2023-09-01,Sassuolo,Verona,H,3,1,2.0,3.6,3.75
2023-09-01,Roma,Milan,A,1,2,2.8,3.1,2.63
2023-09-02,Bologna,Cagliari,H,2,1,1.7,3.75,5.0
2023-09-02,Udinese,Frosinone,D,0,0,1.8,3.6,4.5
2023-09-02,Atalanta,Monza,H,3,0,1.62,4.0,5.25
2023-09-02,Napoli,Lazio,A,1,2,1.62,4.0,5.5
2023-09-03,Inter,Fiorentina,H,4,0,1.65,3.8,5.25
2023-09-03,Torino,Genoa,H,1,0,2.0,3.3,4.0
2023-09-03,Empoli,Juventus,A,0,2,5.25,3.8,1.67
2023-09-03,Lecce,Salernitana,H,2,0,2.0,3.3,4.0
2023-09-16,Juventus,Lazio,H,3,1,1.91,3.4,4.33
2023-09-16,Inter,Milan,H,5,1,2.15,3.5,3.4
2023-09-16,Genoa,Napoli,D,2,2,5.5,3.8,1.67
2023-09-17,Cagliari,Udinese,D,0,0,2.88,3.3,2.5
2023-09-17,Frosinone,Sassuolo,H,4,2,2.8,3.4,2.5
2023-09-17,Monza,Lecce,D,1,1,2.1,3.4,3.5
2023-09-17,Fiorentina,Atalanta,H,3,2,2.38,3.5,2.88
2023-09-17,Roma,Empoli,H,7,0,1.44,4.5,7.5
2023-09-18,Salernitana,Torino,A,0,3,3.6,3.25,2.2
2023-09-18,Verona,Bologna,D,0,0,3.1,3.3,2.38
2023-09-22,Salernitana,Frosinone,D,1,1,2.5,3.2,2.9
2023-09-22,Lecce,Genoa,H,1,0,2.45,3.2,3.1
2023-09-23,Milan,Verona,H,1,0,1.36,4.75,9.0
2023-09-23,Sassuolo,Juventus,H,4,2,4.0,4.0,1.8
2023-09-23,Lazio,Monza,D,1,1,1.8,3.8,4.2
2023-09-24,Empoli,Inter,A,0,1,9.0,5.25,1.33
2023-09-24,Atalanta,Cagliari,H,2,0,1.4,5.0,8.0
2023-09-24,Udinese,Fiorentina,A,0,2,3.2,3.5,2.25
2023-09-24,Bologna,Napoli,D,0,0,3.75,3.6,1.91
2023-09-24,Torino,Roma,D,1,1,3.1,2.9,2.6
2023-09-26,Juventus,Lecce,H,1,0,1.5,4.2,7.0
2023-09-27,Cagliari,Milan,A,1,3,5.25,3.8,1.67
