Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,date,home_team,away_team,home_goals,away_goals,result
17/08/2024,Genoa,Inter,2,2,D,2024-08-17,Genoa,Inter,2,2,X
17/08/2024,Parma,Fiorentina,1,1,D,2024-08-17,Parma,Fiorentina,1,1,X
17/08/2024,Empoli,Monza,0,0,D,2024-08-17,Empoli,Monza,0,0,X
17/08/2024,Milan,Torino,2,2,D,2024-08-17,Milan,Torino,2,2,X
18/08/2024,Bologna,Udinese,1,1,D,2024-08-18,Bologna,Udinese,1,1,X
18/08/2024,Verona,Napoli,3,0,H,2024-08-18,Verona,Napoli,3,0,1
18/08/2024,Cagliari,Roma,0,0,D,2024-08-18,Cagliari,Roma,0,0,X
18/08/2024,Lazio,Venezia,3,1,H,2024-08-18,Lazio,Venezia,3,1,1
19/08/2024,Lecce,Atalanta,0,4,A,2024-08-19,Lecce,Atalanta,0,4,2
19/08/2024,Juventus,Como,3,0,H,2024-08-19,Juventus,Como,3,0,1
24/08/2024,Parma,Milan,2,1,H,2024-08-24,Parma,Milan,2,1,1
24/08/2024,Udinese,Lazio,2,1,H,2024-08-24,Udinese,Lazio,2,1,1
24/08/2024,Inter,Lecce,2,0,H,2024-08-24,Inter,Lecce,2,0,1
24/08/2024,Monza,Genoa,0,1,A,2024-08-24,Monza,Genoa,0,1,2
25/08/2024,Fiorentina,Venezia,0,0,D,2024-08-25,Fiorentina,Venezia,0,0,X
25/08/2024,Torino,Atalanta,2,1,H,2024-08-25,Torino,Atalanta,2,1,1
25/08/2024,Napoli,Bologna,3,0,H,2024-08-25,Napoli,Bologna,3,0,1
25/08/2024,Roma,Empoli,1,2,A,2024-08-25,Roma,Empoli,1,2,2
26/08/2024,Cagliari,Como,1,1,D,2024-08-26,Cagliari,Como,1,1,X
26/08/2024,Verona,Juventus,0,3,A,2024-08-26,Verona,Juventus,0,3,2
30/08/2024,Venezia,Torino,0,1,A,2024-08-30,Venezia,Torino,0,1,2
30/08/2024,Inter,Atalanta,4,0,H,2024-08-30,Inter,Atalanta,4,0,1
31/08/2024,Bologna,Empoli,1,1,D,2024-08-31,Bologna,Empoli,1,1,X
31/08/2024,Lecce,Cagliari,1,0,H,2024-08-31,Lecce,Cagliari,1,0,1
31/08/2024,Lazio,Milan,2,2,D,2024-08-31,Lazio,Milan,2,2,X
31/08/2024,Napoli,Parma,2,1,H,2024-08-31,Napoli,Parma,2,1,1
01/09/2024,Fiorentina,Monza,2,2,D,2024-09-01,Fiorentina,Monza,2,2,X
01/09/2024,Genoa,Verona,0,2,A,2024-09-01,Genoa,Verona,0,2,2
01/09/2024,Juventus,Roma,0,0,D,2024-09-01,Juventus,Roma,0,0,X
01/09/2024,Udinese,Como,1,0,H,2024-09-01,Udinese,Como,1,0,1
14/09/2024,Como,Bologna,2,2,D,2024-09-14,Como,Bologna,2,2,X
14/09/2024,Empoli,Juventus,0,0,D,2024-09-14,Empoli,Juventus,0,0,X
14/09/2024,Milan,Venezia,4,0,H,2024-09-14,Milan,Venezia,4,0,1
15/09/2024,Genoa,Roma,1,1,D,2024-09-15,Genoa,Roma,1,1,X
15/09/2024,Atalanta,Fiorentina,3,2,H,2024-09-15,Atalanta,Fiorentina,3,2,1
15/09/2024,Torino,Lecce,0,0,D,2024-09-15,Torino,Lecce,0,0,X
15/09/2024,Cagliari,Napoli,0,4,A,2024-09-15,Cagliari,Napoli,0,4,2
15/09/2024,Monza,Inter,1,1,D,2024-09-15,Monza,Inter,1,1,X
16/09/2024,Parma,Udinese,2,3,A,2024-09-16,Parma,Udinese,2,3,2
16/09/2024,Lazio,Verona,2,1,H,2024-09-16,Lazio,Verona,2,1,1
20/09/2024,Cagliari,Empoli,0,2,A,2024-09-20,Cagliari,Empoli,0,2,2
20/09/2024,Verona,Torino,2,3,A,2024-09-20,Verona,Torino,2,3,2
21/09/2024,Venezia,Genoa,2,0,H,2024-09-21,Venezia,Genoa,2,0,1
21/09/2024,Juventus,Napoli,0,0,D,2024-09-21,Juventus,Napoli,0,0,X
21/09/2024,Lecce,Parma,2,2,D,2024-09-21,Lecce,Parma,2,2,X
