date,season,home_team,away_team,home_goals,away_goals,result
"2010-08-28","2010/2011","Roma","Cesena","0","0","X"
"2010-08-28","2010/2011","Udinese","Genoa","0","1","2"
"2010-08-29","2010/2011","Bari","Juventus","1","0","1"
"2010-08-29","2010/2011","Chievo","Catania","2","1","1"
"2010-08-29","2010/2011","Fiorentina","Napoli","1","1","X"
"2010-08-29","2010/2011","Milan","Lecce","4","0","1"
"2010-08-29","2010/2011","Palermo","Cagliari","0","0","X"
"2010-08-29","2010/2011","Parma","Brescia","2","0","1"
"2010-08-29","2010/2011","Sampdoria","Lazio","2","0","1"
"2010-08-30","2010/2011","Bologna","Inter","0","0","X"
"2010-09-11","2010/2011","Cagliari","Roma","5","1","1"
"2010-09-11","2010/2011","Cesena","Milan","2","0","1"
"2010-09-11","2010/2011","Inter","Udinese","2","1","1"
"2010-09-12","2010/2011","Brescia","Palermo","3","2","1"
"2010-09-12","2010/2011","Catania","Parma","2","1","1"
"2010-09-12","2010/2011","Genoa","Chievo","1","3","2"
"2010-09-12","2010/2011","Juventus","Sampdoria","3","3","X"
"2010-09-12","2010/2011","Lazio","Bologna","3","1","1"
"2010-09-12","2010/2011","Lecce","Fiorentina","1","0","1"
"2010-09-12","2010/2011","Napoli","Bari","2","2","X"
"2010-09-18","2010/2011","Fiorentina","Lazio","1","2","2"
"2010-09-18","2010/2011","Milan","Catania","1","1","X"
"2010-09-19","2010/2011","Bari","Cagliari","0","0","X"
"2010-09-19","2010/2011","Cesena","Lecce","1","0","1"
"2010-09-19","2010/2011","Chievo","Brescia","0","1","2"
"2010-09-19","2010/2011","Palermo","Inter","1","2","2"
"2010-09-19","2010/2011","Parma","Genoa","1","1","X"
"2010-09-19","2010/2011","Roma","Bologna","2","2","X"
"2010-09-19","2010/2011","Sampdoria","Napoli","1","2","2"
"2010-09-19","2010/2011","Udinese","Juventus","0","4","2"
"2010-09-22","2010/2011","Bologna","Udinese","2","1","1"
"2010-09-22","2010/2011","Brescia","Roma","2","1","1"
"2010-09-22","2010/2011","Cagliari","Sampdoria","0","0","X"
"2010-09-22","2010/2011","Catania","Cesena","2","0","1"
"2010-09-22","2010/2011","Genoa","Fiorentina","1","1","X"
"2010-09-22","2010/2011","Inter","Bari","4","0","1"
"2010-09-22","2010/2011","Lazio","Milan","1","1","X"
"2010-09-22","2010/2011","Lecce","Parma","1","1","X"
"2010-09-22","2010/2011","Napoli","Chievo","1","3","2"
"2010-09-23","2010/2011","Juventus","Palermo","1","3","2"
"2010-09-25","2010/2011","Milan","Genoa","1","0","1"
